statistic,hashtag,strftime_template,n,tau,start_time,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,yesallwomen,%m-%d-%Y %H,185,0.2777350394472259,2014-05-25 03:00:00 UTC,2014-05-25 03:00:00 UTC,1,14,0.3968606310448707,0.974472807991121,5.556048834628189
indegree,yesallwomen,%m-%d-%Y %H,535,0.5672215108834827,2014-05-25 04:00:00 UTC,2014-05-25 04:00:00 UTC,2,15,0.43662597114317414,0.9933407325194229,6.549389567147612
indegree,yesallwomen,%m-%d-%Y %H,1225,0.6888348202216815,2014-05-25 05:00:00 UTC,2014-05-25 05:00:00 UTC,3,15,0.43662597114317414,0.9933407325194229,6.549389567147612
indegree,yesallwomen,%m-%d-%Y %H,1927,0.7242902208201892,2014-05-25 06:00:00 UTC,2014-05-25 06:00:00 UTC,4,15,0.43662597114317414,0.9933407325194229,6.549389567147612
indegree,yesallwomen,%m-%d-%Y %H,2736,0.8096668487165484,2014-05-25 07:00:00 UTC,2014-05-25 07:00:00 UTC,5,15,0.43662597114317414,0.9933407325194229,6.549389567147612
indegree,yesallwomen,%m-%d-%Y %H,3790,0.8163797600417319,2014-05-25 08:00:00 UTC,2014-05-25 08:00:00 UTC,6,16,0.4611542730299666,0.9933407325194229,7.378468368479465
indegree,yesallwomen,%m-%d-%Y %H,5170,0.783266251981949,2014-05-25 09:00:00 UTC,2014-05-25 09:00:00 UTC,7,16,0.4611542730299666,0.9933407325194229,7.378468368479465
indegree,yesallwomen,%m-%d-%Y %H,6280,0.8595118533224337,2014-05-25 10:00:00 UTC,2014-05-25 10:00:00 UTC,8,16,0.4611542730299666,0.9933407325194229,7.378468368479465
indegree,yesallwomen,%m-%d-%Y %H,7120,0.9188584219362059,2014-05-25 11:00:00 UTC,2014-05-25 11:00:00 UTC,9,17,0.44333093947901014,0.9933407325194229,7.536625971143172
indegree,yesallwomen,%m-%d-%Y %H,8026,0.9197530864197531,2014-05-25 12:00:00 UTC,2014-05-25 12:00:00 UTC,10,17,0.44333093947901014,0.9933407325194229,7.536625971143172
