statistic,hashtag,strftime_template,n,tau,start_time,end_time,index,article_count,alexa_mean,alexa_max,alexa_sum
indegree,trayvonmartin,%m-%d-%Y %H,,1.0,2012-03-27 07:00:00 UTC,2012-03-27 07:00:00 UTC,1,44,0.7728786197154676,0.9988901220865705,34.00665926748057
indegree,trayvonmartin,%m-%d-%Y %H,,1.0,2012-03-27 08:00:00 UTC,2012-03-27 08:00:00 UTC,2,44,0.7728786197154676,0.9988901220865705,34.00665926748057
indegree,trayvonmartin,%m-%d-%Y %H,4,0.9258200997725514,2012-03-30 06:00:00 UTC,2012-03-30 06:00:00 UTC,3,53,0.7600150775867484,0.9988901220865705,40.28079911209766
indegree,trayvonmartin,%m-%d-%Y %H,5,0.9607689228305227,2012-03-31 07:00:00 UTC,2012-03-31 07:00:00 UTC,4,54,0.7644386895219303,0.9988901220865705,41.27968923418423
indegree,trayvonmartin,%m-%d-%Y %H,6,0.9534625892455924,2012-04-12 00:00:00 UTC,2012-04-12 00:00:00 UTC,5,58,0.7717574342684373,0.9988901220865705,44.76193118756937
indegree,trayvonmartin,%m-%d-%Y %H,7,0.9883036912035246,2012-05-01 11:00:00 UTC,2012-05-01 11:00:00 UTC,6,60,0.7753792082870884,0.9988901220865705,46.522752497225305
indegree,trayvonmartin,%m-%d-%Y %H,7,1.0,2012-05-03 04:00:00 UTC,2012-05-03 04:00:00 UTC,7,61,0.7748312439729991,0.9988901220865705,47.26470588235294
indegree,trayvonmartin,%m-%d-%Y %H,8,0.9911892555667041,2012-06-08 15:00:00 UTC,2012-06-08 15:00:00 UTC,8,62,0.7784450968457984,0.9988901220865705,48.263596004439506
indegree,trayvonmartin,%m-%d-%Y %H,8,1.0,2012-06-08 16:00:00 UTC,2012-06-08 16:00:00 UTC,9,62,0.7784450968457984,0.9988901220865705,48.263596004439506
indegree,trayvonmartin,%m-%d-%Y %H,8,1.0,2012-06-08 18:00:00 UTC,2012-06-08 18:00:00 UTC,10,62,0.7784450968457984,0.9988901220865705,48.263596004439506
indegree,trayvonmartin,%m-%d-%Y %H,8,1.0,2012-06-09 00:00:00 UTC,2012-06-09 00:00:00 UTC,11,62,0.7784450968457984,0.9988901220865705,48.263596004439506
indegree,trayvonmartin,%m-%d-%Y %H,8,1.0,2012-06-09 01:00:00 UTC,2012-06-09 01:00:00 UTC,12,62,0.7784450968457984,0.9988901220865705,48.263596004439506
indegree,trayvonmartin,%m-%d-%Y %H,8,1.0,2012-06-09 03:00:00 UTC,2012-06-09 03:00:00 UTC,13,62,0.7784450968457984,0.9988901220865705,48.263596004439506
